"ID","Date","Teacher","Remark"
1,2025-04-28,"Dr. Brown","Needs Improvement"
1,2025-05-14,"Dr. Brown","Excellent"
2,2025-05-18,"Ms. Johnson","Good"
2,2025-05-03,"Ms. Johnson","Excellent"
3,2025-04-29,"Dr. Brown","Good"
3,2025-05-26,"Dr. Brown","Excellent"
4,2025-04-29,"Mr. Smith","Needs Improvement"
4,2025-05-09,"Ms. Johnson","Needs Improvement"
5,2025-05-04,"Mr. Smith","Good"
5,2025-05-05,"Mr. Smith","Good"
6,2025-05-27,"Dr. Brown","Needs Improvement"
6,2025-05-26,"Mr. Smith","Excellent"
7,2025-05-21,"Ms. Johnson","Good"
7,2025-05-08,"Ms. Johnson","Good"
8,2025-05-15,"Dr. Brown","Good"
8,2025-04-28,"Ms. Johnson","Excellent"
9,2025-05-08,"Dr. Brown","Good"
9,2025-05-03,"Dr. Brown","Excellent"
10,2025-05-17,"Ms. Johnson","Needs Improvement"
10,2025-05-14,"Dr. Brown","Needs Improvement"
11,2025-05-06,"Dr. Brown","Needs Improvement"
11,2025-05-15,"Ms. Johnson","Good"
12,2025-05-14,"Ms. Johnson","Good"
12,2025-05-12,"Dr. Brown","Needs Improvement"
13,2025-05-11,"Dr. Brown","Needs Improvement"
13,2025-05-11,"Ms. Johnson","Excellent"
14,2025-04-29,"Mr. Smith","Good"
14,2025-05-02,"Mr. Smith","Good"
15,2025-05-12,"Dr. Brown","Needs Improvement"
15,2025-05-19,"Dr. Brown","Good"
16,2025-05-18,"Mr. Smith","Excellent"
16,2025-05-08,"Ms. Johnson","Needs Improvement"
17,2025-05-27,"Ms. Johnson","Good"
17,2025-05-11,"Dr. Brown","Excellent"
18,2025-05-16,"Ms. Johnson","Excellent"
18,2025-04-27,"Dr. Brown","Good"
19,2025-05-08,"Mr. Smith","Good"
19,2025-05-25,"Ms. Johnson","Excellent"
20,2025-05-16,"Ms. Johnson","Excellent"
20,2025-05-06,"Mr. Smith","Needs Improvement"
21,2025-05-02,"Dr. Brown","Needs Improvement"
21,2025-05-15,"Ms. Johnson","Excellent"
22,2025-05-04,"Dr. Brown","Good"
22,2025-05-20,"Dr. Brown","Needs Improvement"
23,2025-05-18,"Mr. Smith","Good"
23,2025-05-16,"Ms. Johnson","Needs Improvement"
24,2025-05-08,"Ms. Johnson","Excellent"
24,2025-05-08,"Mr. Smith","Good"
25,2025-05-22,"Mr. Smith","Needs Improvement"
25,2025-04-28,"Ms. Johnson","Needs Improvement"
26,2025-05-02,"Dr. Brown","Good"
26,2025-05-06,"Dr. Brown","Needs Improvement"
27,2025-05-06,"Dr. Brown","Good"
27,2025-05-03,"Ms. Johnson","Needs Improvement"
28,2025-05-07,"Ms. Johnson","Good"
28,2025-05-13,"Dr. Brown","Excellent"
29,2025-05-04,"Mr. Smith","Excellent"
29,2025-05-17,"Dr. Brown","Needs Improvement"
30,2025-05-01,"Mr. Smith","Needs Improvement"
30,2025-05-11,"Dr. Brown","Good"
31,2025-05-13,"Dr. Brown","Good"
31,2025-05-11,"Dr. Brown","Good"
32,2025-05-09,"Ms. Johnson","Good"
32,2025-05-13,"Mr. Smith","Good"
33,2025-05-13,"Mr. Smith","Excellent"
33,2025-05-17,"Dr. Brown","Excellent"
34,2025-05-26,"Mr. Smith","Needs Improvement"
34,2025-04-30,"Ms. Johnson","Needs Improvement"
35,2025-05-26,"Ms. Johnson","Good"
35,2025-05-18,"Dr. Brown","Good"
36,2025-04-28,"Ms. Johnson","Needs Improvement"
36,2025-05-08,"Mr. Smith","Excellent"
37,2025-05-05,"Mr. Smith","Needs Improvement"
37,2025-05-23,"Ms. Johnson","Good"
38,2025-04-29,"Dr. Brown","Excellent"
38,2025-05-15,"Mr. Smith","Needs Improvement"
39,2025-04-28,"Mr. Smith","Good"
39,2025-05-20,"Mr. Smith","Good"
40,2025-04-30,"Mr. Smith","Needs Improvement"
40,2025-05-23,"Mr. Smith","Excellent"
41,2025-05-10,"Mr. Smith","Needs Improvement"
41,2025-05-04,"Dr. Brown","Excellent"
42,2025-05-13,"Mr. Smith","Good"
42,2025-05-17,"Ms. Johnson","Excellent"
43,2025-05-26,"Dr. Brown","Excellent"
43,2025-05-18,"Dr. Brown","Excellent"
44,2025-04-28,"Dr. Brown","Excellent"
44,2025-05-17,"Ms. Johnson","Excellent"
45,2025-05-19,"Ms. Johnson","Good"
45,2025-05-20,"Mr. Smith","Needs Improvement"
46,2025-05-01,"Dr. Brown","Good"
46,2025-04-29,"Ms. Johnson","Good"
47,2025-05-01,"Mr. Smith","Good"
47,2025-04-30,"Mr. Smith","Excellent"
48,2025-05-09,"Dr. Brown","Excellent"
48,2025-05-23,"Ms. Johnson","Needs Improvement"
49,2025-05-18,"Ms. Johnson","Good"
49,2025-05-12,"Mr. Smith","Needs Improvement"
50,2025-05-09,"Mr. Smith","Needs Improvement"
50,2025-04-30,"Dr. Brown","Good"
